respondent_id,Q1_age_group,Q2_gender,Q3_city_tier,Q4_occupation,Q5_monthly_income,Q6_act_gym,Q6_act_yoga,Q6_act_running,Q6_act_cycling,Q6_act_swimming,Q6_act_team_sports,Q6_act_outdoor,Q6_act_home_workout,Q6_act_none,Q7_workout_days_per_week,Q8_workout_location,Q9_goal_weight_loss,Q9_goal_muscle_building,Q9_goal_endurance,Q9_goal_flexibility,Q9_goal_mental_wellness,Q9_goal_recreational,Q9_goal_competitive,Q9_goal_general_health,Q10_influencer_affinity,Q11_current_monthly_spend_inr,Q12_shop_brand_app,Q12_shop_myntra_ajio,Q12_shop_amazon_flipkart,Q12_shop_brand_website,Q12_shop_physical_store,Q12_shop_social_commerce,Q12_shop_local_unbranded,Q13_factor_price,Q13_factor_brand_rep,Q13_factor_fabric_quality,Q13_factor_style,Q13_factor_sustainability,Q13_factor_influencer,Q13_factor_peer_rec,Q13_factor_loyalty_rewards,Q13_factor_size_avail,Q14_purchase_frequency,Q15_brand_nike,Q15_brand_adidas,Q15_brand_puma,Q15_brand_decathlon,Q15_brand_hrx_reebok,Q15_brand_indian_d2c,Q15_brand_unbranded,Q15_brand_none,Q16_feat_personalised_rec,Q16_feat_browse_purchase,Q16_feat_loyalty_rewards,Q16_feat_sustainability_info,Q16_feat_outfit_builder,Q16_feat_size_virtual_tryon,Q16_feat_order_tracking,Q16_feat_community_features,Q16_feat_flash_sales,Q16_feat_brand_collab,Q17_sustainability_importance,Q18_community_challenge_likelihood,Q19_flash_sale_likelihood,Q20_virtual_tryon_importance,Q21_prod_performance_activewear,Q21_prod_casual_athleisure,Q21_prod_sports_footwear,Q21_prod_accessories,Q21_prod_yoga_wellness,Q21_prod_swimwear,Q21_prod_outdoor_gear,Q22_brand_app_usage,Q24_wtp_monthly_inr,Q25_app_download_intent,persona_label
12,18-22,Male,Tier_2,Salaried_Private,20k-40k,1,0,0,0,0,0,0,0,0,3-4_days,Outdoors,1,0,0,0,0,1,0,1,Yes_occasional,511,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,Every_6_months,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,2,3,4,5,0,0,1,1,1,1,1,Prefers_3rd_party,670,Yes,Budget_Student
13,18-22,Female,Metro,Salaried_Private,Below_20k,0,0,0,0,0,1,0,0,0,1-2_days,Home,0,0,0,0,0,1,0,1,Yes_occasional,1585,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,Every_6_months,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,4,2,4,3,1,1,1,0,1,1,0,Prefers_3rd_party,2286,Maybe,Fashion_First
14,28-32,Male,Tier_2,Salaried_Private,20k-40k,1,1,1,1,0,0,1,1,0,5-7_days,Home,1,0,1,1,0,0,1,1,No,2848,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,Every_2-3_months,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,5,5,2,3,0,1,0,1,0,0,1,No_mobile_shopping,2537,No,Outdoor_Enthusiast
15,23-27,Female,Metro,Student,80k-100k,1,0,1,0,0,1,0,0,0,1-2_days,Commercial_gym,0,0,1,0,0,0,0,1,Yes_influences_purchases,6504,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,Every_2-3_months,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,2,4,2,4,1,0,1,1,0,0,1,Uses_regularly,8518,Yes,Casual_Gym_Goer
16,23-27,Male,Metro,Student,20k-40k,1,1,1,0,0,0,0,0,0,5-7_days,Outdoors,0,0,0,0,1,0,0,1,Yes_occasional,952,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Every_2-3_months,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,3,5,3,3,0,1,1,1,1,0,0,Uses_regularly,1085,No,Casual_Gym_Goer
17,18-22,Male,Metro,Salaried_Public,40k-60k,0,1,0,0,0,0,1,1,0,1-2_days,Home,1,0,0,0,0,1,0,0,Yes_influences_purchases,4439,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,Every_2-3_months,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,3,4,2,4,0,1,0,1,1,0,0,Prefers_3rd_party,6494,Yes,Fashion_First
18,18-22,Male,Tier_2,Salaried_Public,80k-100k,0,0,1,1,0,1,0,1,0,3-4_days,Commercial_gym,1,1,1,0,0,0,1,1,Yes_occasional,12410,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,Monthly_or_more,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,2,5,5,2,1,1,0,1,1,0,0,Uses_regularly,16842,No,Serious_Athlete
19,28-32,Male,Tier_2,Salaried_Private,20k-40k,0,0,0,1,1,0,1,0,0,1-2_days,Dont_workout,0,0,1,0,0,1,0,1,Yes_occasional,876,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Monthly_or_more,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,2,3,2,2,0,0,1,0,1,1,1,Installed_rarely,979,Yes,Outdoor_Enthusiast
20,23-27,Female,Tier_2,Salaried_Private,60k-80k,1,0,0,0,0,0,0,1,0,3-4_days,Home,1,0,1,0,0,1,0,1,Yes_occasional,1462,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Every_6_months,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,4,4,3,5,0,1,1,1,0,1,0,Prefers_3rd_party,1471,No,Fashion_First
21,28-32,Male,Tier_3,Salaried_Private,20k-40k,1,1,1,0,0,0,1,1,0,3-4_days,Outdoors,0,0,0,1,1,1,0,1,No,3318,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,Every_2-3_months,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,4,5,3,4,0,0,1,1,1,0,1,Prefers_3rd_party,4787,Yes,Outdoor_Enthusiast
22,18-22,Male,Tier_2,Salaried_Private,20k-40k,1,0,0,0,0,0,0,1,0,3-4_days,Commercial_gym,1,0,1,0,0,1,0,1,No,1511,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,Monthly_or_more,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,2,4,4,3,1,1,0,1,0,1,0,Uses_regularly,1598,Yes,Casual_Gym_Goer
23,18-22,Male,Metro,Freelancer,Below_20k,1,0,1,1,1,0,0,0,0,3-4_days,Commercial_gym,1,0,1,0,0,0,0,1,Yes_occasional,423,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,Every_6_months,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,4,4,5,3,0,1,0,1,1,0,0,No_mobile_shopping,361,Maybe,Budget_Student
24,18-22,Female,Tier_2,Student,Above_100k,1,0,1,0,1,0,0,1,0,3-4_days,Commercial_gym,0,0,1,1,0,0,0,0,Yes_occasional,3382,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,Every_6_months,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,2,3,4,5,0,0,1,0,1,0,0,Installed_rarely,4054,Yes,Budget_Student
25,28-32,Female,Tier_2,Salaried_Private,20k-40k,0,0,0,1,1,0,1,1,0,5-7_days,Sports_club,0,0,1,0,1,1,0,1,Yes_occasional,1349,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,Every_2-3_months,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,3,4,3,4,0,0,1,0,1,1,1,Installed_rarely,1667,Maybe,Outdoor_Enthusiast
26,23-27,Female,Tier_2,Salaried_Private,20k-40k,1,0,1,0,0,1,1,1,0,3-4_days,Home,1,0,1,1,1,1,0,0,Yes_influences_purchases,2003,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,Every_2-3_months,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,2,4,3,4,0,1,1,0,1,0,0,Installed_rarely,2834,Maybe,Casual_Gym_Goer
27,28-32,Female,Metro,Salaried_Private,80k-100k,0,0,0,0,0,0,0,0,1,1-2_days,Home,1,0,0,0,0,0,0,0,No,2448,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,Rarely,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,3,3,2,5,1,0,0,1,1,0,0,Uses_regularly,3279,Yes,Fashion_First
28,23-27,Female,Metro,Salaried_Public,20k-40k,1,0,1,0,1,1,0,0,0,5-7_days,Outdoors,1,0,0,1,0,0,0,0,Yes_occasional,3866,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,Monthly_or_more,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,4,2,3,3,1,1,0,1,0,1,0,Installed_rarely,5095,Yes,Serious_Athlete
29,28-32,Male,Tier_2,Business_Owner,80k-100k,1,0,0,0,0,1,0,0,0,5-7_days,Outdoors,0,1,1,0,0,0,1,0,Yes_occasional,8686,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,Monthly_or_more,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,2,2,3,5,1,1,1,1,0,1,1,Uses_regularly,13396,No,Serious_Athlete
30,28-32,Female,Metro,Salaried_Private,60k-80k,0,0,1,0,0,1,1,0,0,3-4_days,Outdoors,1,0,1,1,1,1,1,0,No,3865,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,Every_6_months,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,4,5,2,2,0,0,1,0,1,0,1,Installed_rarely,3685,Yes,Outdoor_Enthusiast
31,18-22,Male,Tier_1,Salaried_Private,60k-80k,1,0,1,1,0,1,1,0,0,3-4_days,Outdoors,1,0,1,0,1,1,1,1,Yes_occasional,3644,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,Every_2-3_months,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,4,4,3,4,1,1,0,0,0,1,1,No_mobile_shopping,5292,No,Outdoor_Enthusiast
32,18-22,Male,Tier_1,Student,40k-60k,0,0,0,0,1,0,0,1,0,5-7_days,Home,1,1,0,0,0,1,1,0,Yes_occasional,927,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Yearly,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,2,4,3,4,1,1,0,1,0,0,1,Installed_rarely,1099,Yes,Budget_Student
33,23-27,Female,Metro,Salaried_Private,60k-80k,1,1,0,0,0,0,1,0,0,5-7_days,Commercial_gym,1,1,0,1,0,0,1,1,Yes_influences_purchases,2980,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,Every_6_months,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,4,4,4,3,1,0,1,0,0,0,0,Installed_rarely,3360,Maybe,Casual_Gym_Goer
34,23-27,Male,Metro,Salaried_Private,20k-40k,1,0,1,0,0,1,0,0,0,3-4_days,Outdoors,1,1,0,0,1,1,1,1,Yes_occasional,1772,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,Every_2-3_months,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,3,3,1,1,1,1,1,0,1,0,Uses_regularly,2278,Yes,Casual_Gym_Goer
35,18-22,Male,Tier_3,Student,Above_100k,1,1,0,0,1,0,0,0,0,0_days,Outdoors,1,0,0,1,1,0,1,1,Yes_influences_purchases,9694,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,Every_6_months,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,2,3,5,4,1,1,0,1,0,1,0,No_mobile_shopping,10621,No,Fashion_First
36,28-32,Male,Tier_2,Freelancer,80k-100k,0,1,0,1,1,1,0,1,0,0_days,Outdoors,1,0,0,1,0,0,0,1,No,1275,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,Every_6_months,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,2,3,1,2,1,0,0,0,1,0,0,Prefers_3rd_party,1978,Maybe,Casual_Gym_Goer
37,33-35,Male,Tier_2,Salaried_Private,80k-100k,1,0,1,1,1,1,1,1,0,3-4_days,Outdoors,0,0,1,0,1,1,1,0,Yes_occasional,11150,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,Rarely,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,3,5,2,3,1,0,1,1,0,0,0,Uses_regularly,16496,Yes,Serious_Athlete
38,18-22,Female,Metro,Salaried_Private,40k-60k,0,1,0,0,0,0,0,1,0,3-4_days,Sports_club,1,1,0,1,1,0,0,1,Yes_influences_purchases,3111,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,Every_6_months,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,4,4,3,2,0,1,1,0,1,0,0,Installed_rarely,4743,Maybe,Fashion_First
39,28-32,Male,Metro,Student,40k-60k,1,0,1,0,0,0,0,1,0,3-4_days,Home,0,1,1,0,1,0,0,0,Yes_influences_purchases,4261,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,Yearly,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,4,3,4,5,1,0,1,0,1,0,0,Prefers_3rd_party,5151,Yes,Casual_Gym_Goer
40,28-32,Female,Metro,Freelancer,40k-60k,0,1,0,0,0,0,0,0,0,3-4_days,Dont_workout,0,1,0,1,0,0,0,0,Yes_occasional,3182,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,Monthly_or_more,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,2,2,3,1,1,1,1,0,1,0,Installed_rarely,3251,Yes,Fashion_First
41,23-27,Male,Tier_1,Student,Below_20k,1,0,0,0,1,0,0,1,0,3-4_days,Home,0,0,0,0,0,1,0,0,Yes_influences_purchases,1144,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,Every_2-3_months,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,3,5,3,3,0,0,1,1,1,0,1,Prefers_3rd_party,1001,Yes,Casual_Gym_Goer
42,28-32,Female,Metro,Salaried_Private,40k-60k,0,0,1,1,0,0,0,1,0,3-4_days,Sports_club,1,1,1,1,1,0,0,1,Yes_occasional,3216,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,Every_2-3_months,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,5,1,2,2,1,1,1,1,0,0,1,Installed_rarely,215,Maybe,Outdoor_Enthusiast
43,28-32,Male,Tier_2,Freelancer,60k-80k,0,1,0,0,0,0,0,0,0,5-7_days,Sports_club,0,0,1,0,1,1,0,1,Yes_occasional,1877,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,Every_6_months,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,4,5,5,4,1,0,1,1,0,0,1,Installed_rarely,1637,Yes,Outdoor_Enthusiast
44,33-35,Female,Tier_3,Salaried_Private,60k-80k,1,1,0,1,0,0,1,1,0,3-4_days,Commercial_gym,1,0,1,1,0,1,0,0,Yes_occasional,1875,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,Every_6_months,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,2,3,4,1,1,0,1,1,1,0,0,Prefers_3rd_party,2829,Maybe,Casual_Gym_Goer
45,33-35,Male,Tier_1,Business_Owner,40k-60k,1,0,1,0,1,0,1,0,0,5-7_days,Outdoors,0,1,0,1,0,1,0,1,No,2389,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,Yearly,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,5,4,1,4,0,0,1,0,1,1,1,Installed_rarely,2149,Yes,Outdoor_Enthusiast
46,18-22,Male,Tier_1,Salaried_Private,40k-60k,0,0,1,1,0,0,0,1,0,3-4_days,Outdoors,1,1,1,0,0,0,0,1,No,2665,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,Every_6_months,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,4,3,3,2,1,1,1,1,0,0,1,Prefers_3rd_party,3790,Maybe,Outdoor_Enthusiast
47,23-27,Male,Metro,Salaried_Private,40k-60k,1,0,0,0,0,0,0,0,0,1-2_days,Commercial_gym,1,0,1,1,0,1,0,0,Yes_influences_purchases,3186,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,Monthly_or_more,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,3,4,3,5,1,0,1,1,1,0,0,Prefers_3rd_party,4683,No,Casual_Gym_Goer
48,23-27,Male,Metro,Business_Owner,40k-60k,1,0,1,1,1,1,0,1,0,3-4_days,Commercial_gym,0,1,0,0,0,0,0,1,Yes_occasional,2347,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,Every_6_months,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,2,5,5,4,1,1,0,1,0,0,1,Prefers_3rd_party,2390,Yes,Casual_Gym_Goer
49,23-27,Male,Metro,Salaried_Private,Above_100k,0,0,1,1,0,1,1,0,0,5-7_days,Commercial_gym,0,0,1,0,1,0,1,1,Yes_influences_purchases,10103,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,Every_2-3_months,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,3,2,2,0,1,1,1,1,1,0,No_mobile_shopping,9758,No,Outdoor_Enthusiast
50,23-27,Female,Tier_1,Salaried_Private,60k-80k,0,0,0,1,0,0,0,0,0,5-7_days,Commercial_gym,1,1,0,0,0,0,1,0,Yes_influences_purchases,100,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,Every_2-3_months,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,4,5,2,3,1,0,1,1,0,1,1,Uses_regularly,102,Yes,Serious_Athlete
51,33-35,Female,Tier_1,Salaried_Private,Below_20k,1,0,1,0,0,0,0,1,0,3-4_days,Commercial_gym,1,1,1,1,0,0,0,1,Yes_influences_purchases,1935,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,Yearly,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,5,3,3,2,0,1,1,0,1,0,0,Uses_regularly,101,Yes,Casual_Gym_Goer
52,18-22,Female,Tier_1,Salaried_Public,Below_20k,1,0,0,0,1,1,0,1,0,3-4_days,Commercial_gym,0,1,0,0,1,1,1,0,No,1525,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,Every_2-3_months,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,4,5,5,3,0,1,1,0,0,0,1,Installed_rarely,2144,Yes,Serious_Athlete
53,28-32,Male,Tier_2,Business_Owner,60k-80k,1,0,0,1,1,0,1,0,0,3-4_days,Outdoors,0,1,1,0,0,1,0,1,No,4580,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,Every_2-3_months,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,5,4,3,2,0,0,1,1,1,0,1,Installed_rarely,4487,Yes,Outdoor_Enthusiast
54,28-32,Female,Metro,Salaried_Private,40k-60k,0,1,1,1,0,0,0,0,0,0_days,Outdoors,0,0,0,0,0,0,0,0,Yes_influences_purchases,4243,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,Every_2-3_months,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,2,5,4,3,1,1,1,1,0,1,1,Installed_rarely,6539,Yes,Fashion_First
55,23-27,Female,Metro,Business_Owner,80k-100k,0,0,0,0,0,1,1,0,0,3-4_days,Outdoors,0,1,1,0,0,1,0,0,No,2291,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,Monthly_or_more,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,4,5,4,3,1,0,1,1,1,0,1,Installed_rarely,3123,No,Outdoor_Enthusiast
56,28-32,Female,Metro,Salaried_Private,20k-40k,0,0,1,0,1,1,1,0,0,5-7_days,Commercial_gym,0,0,1,1,1,1,1,0,Yes_influences_purchases,3227,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,Every_6_months,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,5,4,3,2,1,0,1,1,1,1,1,Uses_regularly,5903,Yes,Outdoor_Enthusiast
57,33-35,Male,Metro,Salaried_Private,Below_20k,1,0,0,1,0,1,0,0,0,3-4_days,Commercial_gym,1,1,0,0,1,1,0,1,No,1471,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Monthly_or_more,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,3,5,2,4,0,0,1,1,0,1,0,Installed_rarely,1745,Maybe,Casual_Gym_Goer
58,23-27,Non_binary,Tier_1,Salaried_Private,40k-60k,0,0,0,1,0,0,0,1,0,3-4_days,Home,1,1,0,1,0,1,0,0,No,4887,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,Yearly,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,2,3,4,5,0,1,1,1,1,1,1,Prefers_3rd_party,5900,Yes,Fashion_First
